'hood.n.01	'hood
abramis.n.01	abramis
abrasion.n.01	abrasion
abrasion.n.02	abrasion
abrasive.n.01	abrasive
abreact.v.01	abreact
abridge.v.01	abridge
abridger.n.01	abridger
abrocoma.n.01	abrocoma
abrocome.n.01	abrocome
abrogate.v.01	abrogate
abrogation.n.01	abrogation
abronia.n.01	abronia
abruptness.n.01	abruptness
abruptness.n.03	abruptness
abruzzi.n.01	abruzzi
abscise.v.01	abscise
abscise.v.02	abscise
abscond.v.01	abscond
absconder.n.01	absconder
abscondment.n.01	abscondment
absence.n.01	absence
absence.n.02	absence
absence.n.04	absence
absence_without_leave.n.01	absence without leave
absent.v.01	absent
absentee.n.01	absentee
absinth.n.01	absinth
absolute_pitch.n.01	absolute pitch
absolution.n.02	absolution
absolutism.n.01	absolutism
absolutism.n.03	absolutism
absolutist.a.01	absolutist
absolutist.n.01	absolutist
absolve.v.02	absolve
absorb.v.01	absorb
absorb.v.02	absorb
absorb.v.04	absorb
absorb.v.05	absorb
absorb.v.06	absorb
absorb.v.09	absorb
absorbency.n.01	absorbency
absorbent.a.01	absorbent
absorbent_material.n.01	absorbent material
absorber.n.01	absorber
absorption.n.01	absorption
absorption.n.02	absorption
absorptivity.n.01	absorptivity
abstain.v.02	abstain
abstainer.n.01	abstainer
abstainer.n.02	abstainer
abstemiousness.n.01	abstemiousness
abstinence.n.01	abstinence
abstinence.n.02	abstinence
abstract.a.01	abstract
abstract.v.01	abstract
abstract.v.03	abstract
abstract.v.04	abstract
abstractedness.n.01	abstractedness
abstraction.n.01	abstraction
abstraction.n.03	abstraction
abstraction.n.06	abstraction
abstractionism.n.02	abstractionism
abstractionist.n.01	abstractionist
absurdity.n.01	absurdity
absurdity.n.02	absurdity
abu_hafs_al-masri_brigades.n.01	abu hafs al-masri brigades
abu_sayyaf.n.01	abu sayyaf
abudefduf.n.01	abudefduf
abundance.n.01	abundance
abundant.a.01	abundant
abuse.n.02	abuse
abuse.v.03	abuse
abuser.n.01	abuser
abutilon.n.01	abutilon
abutment.n.01	abutment
abutter.n.01	abutter
abyssal_zone.n.01	abyssal zone
abyssinian_banana.n.01	abyssinian banana
acacia.n.01	acacia
academia.n.01	academia
academic.a.01	academic
academic_administrator.n.01	academic administrator
academic_degree.n.01	academic degree
academic_department.n.01	academic department
academic_gown.n.01	academic gown
academic_program.n.01	academic program
academician.n.01	academician
academician.n.02	academician
academician.n.03	academician
academicianship.n.01	academicianship
academy.n.01	academy
academy.n.02	academy
academy.n.03	academy
academy.n.04	academy
academy_award.n.01	academy award
acadia.n.01	acadia
acalypha.n.01	acalypha
acanthaceae.n.01	acanthaceae
acanthisitta.n.01	acanthisitta
acanthocephala.n.01	acanthocephala
acanthocybium.n.01	acanthocybium
acanthophis.n.01	acanthophis
acanthopterygii.n.01	acanthopterygii
acanthoscelides.n.01	acanthoscelides
acanthuridae.n.01	acanthuridae
acanthurus.n.01	acanthurus
acanthus.n.01	acanthus
acapulco.n.01	acapulco
acapulco_gold.n.01	acapulco gold
acarina.n.01	acarina
acarine.n.01	acarine
acaroid_resin.n.01	acaroid resin
accede.v.02	accede
accelerate.v.01	accelerate
accelerate.v.02	accelerate
acceleration.n.01	acceleration
acceleration.n.02	acceleration
accelerator.n.01	accelerator
accelerator.n.02	accelerator
accelerator.n.04	accelerator
accent.n.01	accent
accent.n.05	accent
accentor.n.01	accentor
accentuation.n.01	accentuation
accept.v.01	accept
accept.v.02	accept
accept.v.03	accept
accept.v.04	accept
accept.v.05	accept
accept.v.07	accept
acceptability.n.01	acceptability
acceptance.n.03	acceptance
acceptation.n.01	acceptation
access.n.03	access
access.n.05	access
access.n.06	access
access.v.01	access
access.v.02	access
access_time.n.01	access time
accessible.a.01	accessible
accession.n.06	accession
accessory.n.01	accessory
accessory.n.02	accessory
accessory.n.03	accessory
accident.n.01	accident
accident.n.02	accident
accipiter.n.01	accipiter
accipitridae.n.01	accipitridae
acclaim.n.01	acclaim
acclaim.v.01	acclaim
acclimatization.n.01	acclimatization
acclimatize.v.01	acclimatize
accommodate.v.04	accommodate
accommodate.v.07	accommodate
accommodation.n.02	accommodation
accommodation.n.03	accommodation
accommodation.n.04	accommodation
accommodation.n.05	accommodation
accommodation_reflex.n.01	accommodation reflex
accompaniment.n.01	accompaniment
accompaniment.n.02	accompaniment
accompanist.n.01	accompanist
accompany.v.02	accompany
accomplice.n.01	accomplice
accomplishment.n.01	accomplishment
accord.n.04	accord
accord.v.02	accord
accordance.n.02	accordance
accordant.a.01	accordant
accordion.n.01	accordion
account.n.07	account
account.v.02	account
account_executive.n.01	account executive
accountancy.n.01	accountancy
accountant.n.01	accountant
accountantship.n.01	accountantship
accounting.n.02	accounting
accounting.n.04	accounting
accredit.v.01	accredit
accredit.v.03	accredit
accrete.v.01	accrete
accrete.v.02	accrete
accretion.n.01	accretion
accretion.n.04	accretion
accrue.v.02	accrue
acculturate.v.01	acculturate
acculturation.n.02	acculturation
acculturation.n.03	acculturation
acculturational.a.01	acculturational
accumulate.v.02	accumulate
accumulation.n.03	accumulation
accumulation.n.04	accumulation
accuracy.n.01	accuracy
accurate.a.01	accurate
accurse.v.01	accurse
accusation.n.01	accusation
accusation.n.02	accusation
accuse.v.01	accuse
accuser.n.01	accuser
ace.n.03	ace
ace_inhibitor.n.01	ace inhibitor
acebutolol.n.01	acebutolol
acephalia.n.01	acephalia
acer.n.01	acer
aceraceae.n.01	aceraceae
acerbate.v.02	acerbate
acerola.n.02	acerola
acetabular.s.01	acetabular
acetaminophen.n.01	acetaminophen
acetanilide.n.01	acetanilide
acetate_disk.n.01	acetate disk
acetic_acid.n.01	acetic acid
acetone.n.01	acetone
acetophenetidin.n.01	acetophenetidin
acetum.n.01	acetum
acetyl.n.01	acetyl
acetylate.v.01	acetylate
acetylate.v.02	acetylate
acetylation.n.01	acetylation
ache.n.01	ache
ache.v.02	ache
ache.v.03	ache
acheron.n.01	acheron
acherontia.n.01	acherontia
acheta.n.01	acheta
achieve.v.01	achieve
achiever.n.01	achiever
achillea.n.01	achillea
achilles_tendon.n.01	achilles tendon
achoerodus.n.01	achoerodus
achondroplasia.n.01	achondroplasia
achras.n.01	achras
achromatic.a.01	achromatic
achromatic_color.n.01	achromatic color
achromatize.v.01	achromatize
achromia.n.01	achromia
acid-base_indicator.n.01	acid-base indicator
acid.n.01	acid
acid.n.02	acid
acidification.n.01	acidification
acidify.v.02	acidify
acidophilus.n.01	acidophilus
acidosis.n.01	acidosis
acinonyx.n.01	acinonyx
acinos.n.01	acinos
acinus.n.02	acinus
acipenser.n.01	acipenser
acipenseridae.n.01	acipenseridae
acknowledge.v.02	acknowledge
acknowledge.v.04	acknowledge
acknowledge.v.06	acknowledge
acknowledgment.n.03	acknowledgment
acme.n.01	acme
acne.n.01	acne
acnidosporidia.n.01	acnidosporidia
acocanthera.n.01	acocanthera
acolyte.n.01	acolyte
aconite.n.01	aconite
aconitum.n.01	aconitum
acoraceae.n.01	acoraceae
acorn_barnacle.n.01	acorn barnacle
acorn_tube.n.01	acorn tube
acorus.n.01	acorus
acoustic.n.01	acoustic
acoustic_device.n.01	acoustic device
acoustic_nerve.n.01	acoustic nerve
acoustics.n.01	acoustics
acquaintance.n.01	acquaintance
acquaintance.n.03	acquaintance
acquire.v.05	acquire
acquirer.n.01	acquirer
acquirer.n.02	acquirer
acquiring.n.01	acquiring
acquisition.n.01	acquisition
acquisition.n.02	acquisition
acquisitiveness.n.01	acquisitiveness
acquit.v.01	acquit
acquittal.n.01	acquittal
acquittance.n.01	acquittance
acrasiomycetes.n.01	acrasiomycetes
acre-foot.n.01	acre-foot
acre.n.02	acre
acre.n.03	acre
acre_inch.n.01	acre inch
acrididae.n.01	acrididae
acridotheres.n.01	acridotheres
acris.n.01	acris
acrobat.n.01	acrobat
acrobatic_stunt.n.01	acrobatic stunt
acrobatics.n.01	acrobatics
acrobatics.n.02	acrobatics
acrocarpus.n.01	acrocarpus
acrocomia.n.01	acrocomia
acrodont.n.01	acrodont
acromion.n.01	acromion
acronym.n.01	acronym
acropora.n.01	acropora
acrosome.n.01	acrosome
acrostichum.n.01	acrostichum
acrylic.n.02	acrylic
acrylic.n.04	acrylic
act.n.01	act
act.n.02	act
act.n.03	act
act.n.04	act
act.n.05	act
act.v.01	act
act.v.02	act
act.v.03	act
act.v.04	act
act.v.05	act
act.v.06	act
act.v.08	act
act.v.10	act
act_involuntarily.v.01	act involuntarily
act_of_god.n.01	act of god
actable.a.01	actable
actaea.n.01	actaea
actias.n.01	actias
acting.n.01	acting
actinia.n.01	actinia
actinia.n.02	actinia
actiniaria.n.01	actiniaria
actinic_radiation.n.01	actinic radiation
actinidia.n.01	actinidia
actinidiaceae.n.01	actinidiaceae
actinomeris.n.01	actinomeris
actinometry.n.01	actinometry
actinomycetales.n.01	actinomycetales
actinomycete.n.01	actinomycete
actinomycosis.n.01	actinomycosis
actinopod.n.01	actinopod
actinopoda.n.01	actinopoda
action.n.01	action
action.n.02	action
action.n.07	action
action.v.01	action
actitis.n.01	actitis
actium.n.02	actium
activate.v.02	activate
activate.v.04	activate
activating_agent.n.01	activating agent
activation.n.01	activation
activator.n.01	activator
active.a.01	active
active.a.03	active
active.a.06	active
active.a.09	active
active.a.13	active
active.n.03	active
activeness.n.02	activeness
activity.n.01	activity
actor's_line.n.01	actor's line
actor.n.01	actor
actor.n.02	actor
actress.n.01	actress
actual.a.01	actual
actual_damages.n.01	actual damages
actuality.n.01	actuality
actuator.n.01	actuator
acuity.n.01	acuity
aculeus.n.01	aculeus
acuminate.v.01	acuminate
acupressure.n.01	acupressure
acupuncture.n.01	acupuncture
acute_leukemia.n.01	acute leukemia
acyclovir.n.01	acyclovir
acyl.n.01	acyl
ad-lib.n.01	ad-lib
ad.n.01	ad
adagio.n.01	adagio
adagio.n.02	adagio
adalia.n.02	adalia
adam.n.03	adam
adamance.n.01	adamance
adams.n.02	adams
adams.n.03	adams
adams.n.04	adams
adana.n.01	adana
adansonia.n.01	adansonia
adapid.n.01	adapid
adapt.v.01	adapt
adaptability.n.01	adaptability
adaptable.a.01	adaptable
adaptation.n.01	adaptation
adaptation.n.02	adaptation
adaptation.n.03	adaptation
adaptive.a.01	adaptive
add.v.01	add
add.v.02	add
add.v.04	add
addendum.n.01	addendum
adder's_tongue.n.01	adder's tongue
adder.n.02	adder
addict.n.01	addict
addict.n.02	addict
addict.v.01	addict
addiction.n.01	addiction
addiction.n.03	addiction
adding_machine.n.01	adding machine
addis_ababa.n.01	addis ababa
addison's_disease.n.01	addison's disease
addition.n.01	addition
addition.n.02	addition
addition.n.03	addition
additive.a.02	additive
additive.n.01	additive
addle.v.01	addle
address.n.01	address
address.n.02	address
address.n.03	address
address.n.06	address
address.v.01	address
address.v.02	address
address.v.03	address
address.v.04	address
address.v.07	address
address.v.09	address
address.v.10	address
addressee.n.01	addressee
adduce.v.01	adduce
adduct.v.01	adduct
adduction.n.01	adduction
adductor.n.01	adductor
adelges.n.01	adelges
adelgid.n.01	adelgid
adelgidae.n.01	adelgidae
adelie_land.n.01	adelie land
aden.n.01	aden
adenanthera.n.01	adenanthera
adenine.n.01	adenine
adenium.n.01	adenium
adenocarcinoma.n.01	adenocarcinoma
adenoid.a.01	adenoid
adenoidal.a.01	adenoidal
adenoma.n.01	adenoma
adenota.n.01	adenota
adeptness.n.01	adeptness
adequacy.n.01	adequacy
adequate.a.01	adequate
adhere.v.01	adhere
adhere.v.02	adhere
adhere.v.04	adhere
adhere.v.06	adhere
adhesive.a.01	adhesive
adhesive_material.n.01	adhesive material
adhesive_tape.n.01	adhesive tape
adhesiveness.n.01	adhesiveness
adi_granth.n.01	adi granth
adiantaceae.n.01	adiantaceae
adiantum.n.01	adiantum
adieu.n.01	adieu
adipose_tissue.n.01	adipose tissue
adiposity.n.01	adiposity
adirondacks.n.01	adirondacks
adjectival.a.01	adjectival
adjective.n.01	adjective
adjourn.v.01	adjourn
adjourn.v.02	adjourn
adjournment.n.01	adjournment
adjournment.n.02	adjournment
adjudicative.a.01	adjudicative
adjudicator.n.01	adjudicator
adjuration.n.01	adjuration
adjust.v.01	adjust
adjust.v.03	adjust
adjust.v.05	adjust
adjustable_wrench.n.01	adjustable wrench
adjuster.n.01	adjuster
adjustment.n.01	adjustment
adjustment.n.03	adjustment
adjutant.n.01	adjutant
adjutant_bird.n.01	adjutant bird
admass.n.01	admass
admeasure.v.01	admeasure
administer.v.01	administer
administer.v.04	administer
administration.n.01	administration
administration.n.02	administration
administration.n.03	administration
administration.n.06	administration
administrative_district.n.01	administrative district
administrative_unit.n.01	administrative unit
administrator.n.01	administrator
administrator.n.03	administrator
admiral.n.01	admiral
admiralty.n.01	admiralty
admiralty.n.02	admiralty
admiralty_range.n.01	admiralty range
admiration.n.01	admiration
admiration.n.03	admiration
admire.v.01	admire
admirer.n.02	admirer
admirer.n.03	admirer
admissibility.n.01	admissibility
admission.n.01	admission
admit.v.01	admit
admit.v.02	admit
admit.v.03	admit
admit.v.08	admit
admix.v.01	admix
admixture.n.02	admixture
admonish.v.03	admonish
admonisher.n.01	admonisher
admonition.n.01	admonition
admonition.n.02	admonition
adolesce.v.01	adolesce
adolescence.n.01	adolescence
adolescent.n.01	adolescent
adonis.n.02	adonis
adopt.v.01	adopt
adopt.v.02	adopt
adopt.v.05	adopt
adoptee.n.01	adoptee
adoption.n.01	adoption
adoption.n.02	adoption
adoration.n.02	adoration
adore.v.01	adore
adornment.n.01	adornment
adornment.n.02	adornment
adrenal_cortex.n.01	adrenal cortex
adrenal_gland.n.01	adrenal gland
adrenal_medulla.n.01	adrenal medulla
adrenergic.n.01	adrenergic
adrenocorticotropic_hormone.n.01	adrenocorticotropic hormone
adroit.a.01	adroit
adsorb.v.01	adsorb
adsorbent.n.01	adsorbent
adult.n.01	adult
adult.n.02	adult
adult_body.n.01	adult body
adult_female_body.n.01	adult female body
adult_male_body.n.01	adult male body
adult_respiratory_distress_syndrome.n.01	adult respiratory distress syndrome
adulterant.n.01	adulterant
adulterating.a.01	adulterating
adulteration.n.01	adulteration
adulterator.n.02	adulterator
adulterer.n.01	adulterer
adulteress.n.01	adulteress
adultery.n.01	adultery
adulthood.n.01	adulthood
adulthood.n.02	adulthood
advance.n.05	advance
advance.n.06	advance
advance.v.01	advance
advance.v.05	advance
advance.v.08	advance
advance.v.12	advance
advanced_research_and_development_activity.n.01	advanced research and development activity
advancement.n.03	advancement
advancer.n.01	advancer
advantage.n.01	advantage
advantage.v.01	advantage
advantageous.a.01	advantageous
advent.n.01	advent
adventism.n.01	adventism
adventure.n.01	adventure
adventurer.n.01	adventurer
adventurous.a.01	adventurous
adventurousness.n.01	adventurousness
adverb.n.02	adverb
adversary.n.01	adversary
adversity.n.01	adversity
advertence.n.01	advertence
advertise.v.01	advertise
advertise.v.02	advertise
advertiser.n.01	advertiser
advertising.n.02	advertising
advertising_campaign.n.01	advertising campaign
advertorial.n.01	advertorial
advice.n.01	advice
advice_and_consent.n.01	advice and consent
advise.v.02	advise
advisee.n.01	advisee
adviser.n.01	adviser
advisory_board.n.01	advisory board
advocacy.n.01	advocacy
advocate.n.01	advocate
advocate.n.02	advocate
adzuki_bean.n.01	adzuki bean
aedes.n.01	aedes
aegean.n.01	aegean
aegean_civilization.n.01	aegean civilization
aegean_island.n.01	aegean island
aegiceras.n.01	aegiceras
aegilops.n.01	aegilops
aegypius.n.01	aegypius
aeolis.n.01	aeolis
aeonium.n.01	aeonium
aepyceros.n.01	aepyceros
aepyorniformes.n.01	aepyorniformes
aeration.n.01	aeration
aerie.n.01	aerie
aeronautical_engineer.n.01	aeronautical engineer
aeronautics.n.01	aeronautics
aerosol.n.01	aerosol
aerosol.n.02	aerosol
aerosolize.v.01	aerosolize
aerosolize.v.02	aerosolize
aerospace.n.01	aerospace
aeschynanthus.n.01	aeschynanthus
aesculapian.a.01	aesculapian
aesculapius.n.01	aesculapius
aesculus.n.01	aesculus
aesthetic.a.02	aesthetic
aesthetic.n.01	aesthetic
aesthetic.s.03	aesthetic
aesthetics.n.01	aesthetics
aethionema.n.01	aethionema
aethusa.n.01	aethusa
aetobatus.n.01	aetobatus
affability.n.01	affability
affair.n.02	affair
affair.n.03	affair
affairs.n.02	affairs
affect.v.01	affect
affect.v.02	affect
affect.v.05	affect
affectation.n.01	affectation
affectedness.n.01	affectedness
affection.n.01	affection
affectionateness.n.02	affectionateness
affective_disorder.n.01	affective disorder
affiant.n.01	affiant
affidavit.n.01	affidavit
affiliate.v.02	affiliate
affiliation.n.01	affiliation
affinity.n.03	affinity
affirm.v.02	affirm
affirm.v.03	affirm
affirmation.n.02	affirmation
affirmation.n.03	affirmation
affirmation.n.04	affirmation
affirmative.a.01	affirmative
affirmative.n.01	affirmative
affix.n.01	affix
affix.v.01	affix
affix.v.03	affix
afflict.v.01	afflict
afflict.v.02	afflict
affliction.n.01	affliction
affliction.n.02	affliction
affliction.n.03	affliction
affluence.n.01	affluence
afford.v.04	afford
afforest.v.01	afforest
affray.n.01	affray
affray.n.02	affray
afghan.n.02	afghan
afghani.a.01	afghani
afghanistan.n.01	afghanistan
afraid.a.01	afraid
aframomum.n.01	aframomum
africa.n.01	africa
african.n.01	african
african_american_vernacular_english.n.01	african american vernacular english
african_chameleon.n.01	african chameleon
african_coral_snake.n.01	african coral snake
african_country.n.01	african country
african_daisy.n.01	african daisy
african_daisy.n.02	african daisy
african_lily.n.01	african lily
african_scented_mahogany.n.01	african scented mahogany
africanized_bee.n.01	africanized bee
afro.n.01	afro
afroasiatic.n.01	afroasiatic
afrocarpus.n.01	afrocarpus
afropavo.n.01	afropavo
afterburner.n.01	afterburner
aftereffect.n.01	aftereffect
afterlife.n.01	afterlife
aftermath.n.01	aftermath
aga.n.01	aga
agalinis.n.01	agalinis
agamid.n.01	agamid
agamidae.n.01	agamidae
agapanthus.n.01	agapanthus
agar.n.01	agar
agaric.n.02	agaric
agaricaceae.n.01	agaricaceae
agaricales.n.01	agaricales
agaricus.n.01	agaricus
agastache.n.01	agastache
agathis.n.01	agathis
agavaceae.n.01	agavaceae
agave.n.01	agave
agdestis.n.01	agdestis
age.n.01	age
age.n.03	age
age.v.03	age
age_group.n.01	age group
agelaius.n.01	agelaius
agency.n.01	agency
agency.n.02	agency
agency.n.03	agency
agenda.n.01	agenda
agenda.n.02	agenda
agent.n.01	agent
agent.n.02	agent
agent.n.03	agent
agent.n.04	agent
agent.n.05	agent
agential.a.01	agential
ageratina.n.01	ageratina
agglomerate.v.01	agglomerate
agglomeration.n.01	agglomeration
agglutinate.v.02	agglutinate
agglutination.n.01	agglutination
aggrandizement.n.01	aggrandizement
aggravation.n.01	aggravation
aggravation.n.02	aggravation
aggravation.n.03	aggravation
aggravator.n.01	aggravator
aggregate.n.03	aggregate
aggregate.v.01	aggregate
aggregate.v.02	aggregate
aggression.n.03	aggression
aggression.n.04	aggression
aggression.n.05	aggression
aggressive.a.01	aggressive
aggressiveness.n.01	aggressiveness
aggressiveness.n.03	aggressiveness
aggro.n.01	aggro
agitate.v.01	agitate
agitate.v.02	agitate
agitate.v.06	agitate
agitation.n.01	agitation
agitation.n.02	agitation
agitation.n.03	agitation
agitation.n.05	agitation
agitator.n.01	agitator
agkistrodon.n.01	agkistrodon
aglaomorpha.n.01	aglaomorpha
aglaonema.n.01	aglaonema
aglet.n.01	aglet
agnate.n.01	agnate
agnatha.n.01	agnatha
agnosia.n.01	agnosia
agnostic.n.01	agnostic
agon.n.01	agon
agonal.a.01	agonal
agonidae.n.01	agonidae
agonist.n.02	agonist
agonize.v.01	agonize
agonize.v.02	agonize
agonus.n.01	agonus
agony.n.01	agony
agony.n.02	agony
agra.n.01	agra
agree.v.01	agree
agree.v.02	agree
agree.v.07	agree
agreeableness.n.02	agreeableness
agreement.n.01	agreement
agreement.n.02	agreement
agreement.n.03	agreement
agreement.n.04	agreement
agreement.n.05	agreement
agreement.n.06	agreement
agribusiness.n.01	agribusiness
agricultural_laborer.n.01	agricultural laborer
agriculturist.n.01	agriculturist
agrimonia.n.01	agrimonia
agriocharis.n.01	agriocharis
agrobiology.n.01	agrobiology
agrology.n.01	agrology
agronomy.n.01	agronomy
agropyron.n.01	agropyron
agrostemma.n.01	agrostemma
agrostis.n.01	agrostis
ague_root.n.01	ague root
agueweed.n.01	agueweed
ahimsa.n.01	ahimsa
ahuehuete.n.01	ahuehuete
aid.n.01	aid
aid.n.02	aid
aid.n.03	aid
aide.n.02	aide
ailanthus.n.01	ailanthus
ailanthus_silkworm.n.01	ailanthus silkworm
ailment.n.01	ailment
ailuropoda.n.01	ailuropoda
ailurus.n.01	ailurus
aim.n.02	aim
aim.n.03	aim
aim.v.01	aim
aim.v.02	aim
air-cool.v.01	air-cool
air-drop.v.01	air-drop
air.n.01	air
air.n.03	air
air.n.08	air
air.v.02	air
air.v.03	air
air_attache.n.01	air attache
air_bag.n.01	air bag
air_base.n.01	air base
air_combat_command.n.01	air combat command
air_conditioner.n.01	air conditioner
air_cover.n.01	air cover
air_force.n.01	air force
air_force_academy.n.01	air force academy
air_force_intelligence_surveillance_and_reconnaissance.n.01	air force intelligence surveillance and reconnaissance
air_force_officer.n.01	air force officer
air_force_research_laboratory.n.01	air force research laboratory
air_force_space_command.n.01	air force space command
air_lane.n.01	air lane
air_marshal.n.01	air marshal
air_medal.n.01	air medal
air_national_guard.n.01	air national guard
air_out.v.01	air out
air_passage.n.01	air passage
air_plant.n.01	air plant
air_pollution.n.01	air pollution
air_pump.n.01	air pump
air_terminal.n.01	air terminal
air_travel.n.01	air travel
air_unit.n.01	air unit
airbrush.n.01	airbrush
aircraft.n.01	aircraft
aircraft_carrier.n.01	aircraft carrier
aircraft_landing.n.01	aircraft landing
aircrewman.n.01	aircrewman
airdock.n.01	airdock
airfield.n.01	airfield
airfoil.n.01	airfoil
airhead.n.01	airhead
airing.n.02	airing
airlift.n.01	airlift
airline.n.01	airline
airliner.n.01	airliner
airmail.n.02	airmail
airmail.v.01	airmail
airplane.n.01	airplane
airport.n.01	airport
airstrip.n.01	airstrip
aix.n.01	aix
aizoaceae.n.01	aizoaceae
ajaia.n.01	ajaia
ajuga.n.01	ajuga
akee.n.01	akee
akeridae.n.01	akeridae
akhenaton.n.01	akhenaton
akron.n.01	akron
aksa_martyrs_brigades.n.01	aksa martyrs brigades
al-fatah.n.01	al-fatah
al-gama'a_al-islamiyya.n.01	al-gama'a al-islamiyya
al-jihad.n.01	al-jihad
al-ma'unah.n.01	al-ma'unah
al-muhajiroun.n.01	al-muhajiroun
al-qaeda.n.01	al-qaeda
al-rashid_trust.n.01	al-rashid trust
al-tawhid.n.01	al-tawhid
al-ummah.n.01	al-ummah
al_aqabah.n.01	al aqabah
al_itihaad_al_islamiya.n.01	al itihaad al islamiya
al_ladhiqiyah.n.01	al ladhiqiyah
al_nathir.n.01	al nathir
al_sunna_wal_jamma.n.01	al sunna wal jamma
alabama.n.01	alabama
alabama.n.03	alabama
alacrity.n.01	alacrity
alamo.n.01	alamo
aland_islands.n.01	aland islands
alarm.n.01	alarm
alarm.n.02	alarm
alarm.n.03	alarm
alarm.v.02	alarm
alarmist.n.01	alarmist
alaska.n.01	alaska
alaska_king_crab.n.01	alaska king crab
alaska_range.n.01	alaska range
alaskan_brown_bear.n.01	alaskan brown bear
alaskan_pipeline.n.01	alaskan pipeline
alastrim.n.01	alastrim
alauda.n.01	alauda
alaudidae.n.01	alaudidae
albacore.n.01	albacore
albania.n.01	albania
albanian.n.02	albanian
albany.n.01	albany
albatrellus_ovinus.n.01	albatrellus ovinus
albatross.n.01	albatross
albatross.n.02	albatross
albigenses.n.01	albigenses
albinism.n.01	albinism
albino.n.01	albino
albizzia.n.01	albizzia
albuginaceae.n.01	albuginaceae
albuginea.n.01	albuginea
albula.n.01	albula
albulidae.n.01	albulidae
album.n.02	album
albumin.n.01	albumin
albuquerque.n.01	albuquerque
alca.n.01	alca
alcea.n.01	alcea
alcedinidae.n.01	alcedinidae
alcedo.n.01	alcedo
alces.n.01	alces
alchemize.v.01	alchemize
alchemy.n.02	alchemy
alcibiades.n.01	alcibiades
alcidae.n.01	alcidae
alcohol.n.01	alcohol
alcohol.n.02	alcohol
alcoholic.a.01	alcoholic
alcoholic.n.01	alcoholic
alcoholic_dementia.n.01	alcoholic dementia
alcoholism.n.01	alcoholism
alcoholize.v.02	alcoholize
alcoholize.v.03	alcoholize
alcove.n.01	alcove
alcyonaria.n.01	alcyonaria
aldehyde.n.01	aldehyde
alder.n.02	alder
alderfly.n.01	alderfly
alderleaf_juneberry.n.01	alderleaf juneberry
aldrovanda.n.01	aldrovanda
ale.n.01	ale
alectis.n.01	alectis
alectoria.n.01	alectoria
alectoris.n.01	alectoris
alectura.n.01	alectura
alehouse.n.01	alehouse
alendronate.n.01	alendronate
aleph.n.01	aleph
alepisaurus.n.01	alepisaurus
alert.a.01	alert
alert.n.01	alert
alert.n.02	alert
aletris.n.01	aletris
aleurites.n.01	aleurites
aleutian_islands.n.01	aleutian islands
alewife.n.02	alewife
alex_boncayao_brigade.n.01	alex boncayao brigade
alexander.n.01	alexander
