'hood.n.01	(slang) a neighborhood
abolition.n.01	the act of abolishing a system or practice or institution (especially abolishing slavery)
abolitionism.n.01	the doctrine that calls for the abolition of slavery
abolitionist.n.01	a reformer who favors abolishing slavery
abomasum.n.01	the fourth compartment of the stomach of a ruminant; the one where digestion takes place
abomination.n.01	a person who is loathsome or disgusting
abomination.n.03	an action that is vicious or vile; an action that arouses disgust or abhorrence
abominator.n.01	one who hates or loathes
aborigine.n.02	a dark-skinned member of a race of people living in Australia when Europeans arrived
abort.v.02	cease development, die, and be aborted
abort.v.03	terminate a pregnancy by undergoing an abortion
abortifacient.n.01	a drug (or other chemical agent) that causes abortion
abortion.n.01	termination of pregnancy
abortion_pill.n.01	an abortion-inducing drug (trade name RU_486) developed in France; when taken during the first five weeks of pregnancy it blocks the action of progesterone so that the uterus sloughs off the embryo
abortionist.n.01	a person (who should be a doctor) who terminates pregnancies
abound.v.01	be abundant or plentiful; exist in large quantities
abound.v.02	be in a state of movement or action
about-face.n.01	act of pivoting 180 degrees, especially in a military formation
about-face.n.02	a major change in attitude or principle or point of view
abrade.v.01	wear away
abrader.n.01	a tool or machine used for wearing down or smoothing or polishing
abramis.n.01	European fishes
abrasion.n.01	an abraded area where the skin is torn or worn off
abrasion.n.02	erosion by friction
abrasive.n.01	a substance that abrades or wears down
abreact.v.01	discharge bad feelings or tension through verbalization
abridge.v.01	reduce in scope while retaining essential elements
abridger.n.01	one who shortens or abridges or condenses a written work
abrocoma.n.01	abrocomes
abrocome.n.01	ratlike rodent with soft fur and large ears of the Andes
abrogate.v.01	revoke formally
abrogation.n.01	the act of abrogating; an official or legal cancellation
abronia.n.01	genus of western North American herbs having showy flowers
abruptness.n.01	an abrupt discourteous manner
abruptness.n.03	the quality of happening with headlong haste or without warning
abruzzi.n.01	a mountainous region of central Italy on the Adriatic
abscise.v.01	shed flowers and leaves and fruit following formation of a scar tissue
abscise.v.02	remove or separate by abscission
abscond.v.01	run away; usually includes taking something or somebody along
absconder.n.01	a fugitive who runs away and hides to avoid arrest or prosecution
abscondment.n.01	the act of running away secretly (as to avoid arrest)
absence.n.01	the state of being absent
absence.n.02	failure to be present
absence.n.04	the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy
absence_without_leave.n.01	unauthorized military absence
absent.v.01	go away or leave
absentee.n.01	one that is absent or not in residence
absinth.n.01	strong green liqueur flavored with wormwood and anise
absolute_pitch.n.01	the ability to identify the pitch of a tone
absolution.n.02	the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
absolutism.n.01	dominance through threat of punishment and violence
absolutism.n.03	the principle of complete and unrestricted power in government
absolutist.a.01	pertaining to the principle of totalitarianism
absolutist.n.01	one who advocates absolutism
absolve.v.02	let off the hook
absorb.v.01	become imbued
absorb.v.02	take up mentally
absorb.v.04	take in, also metaphorically
absorb.v.05	cause to become one with
absorb.v.06	suck or take up or in
absorb.v.09	consume all of one's attention or time
absorbency.n.01	the property of being absorbent
absorbent.a.01	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
absorbent_material.n.01	a material having capacity or tendency to absorb another substance
absorber.n.01	(physics) material in a nuclear reactor that absorbs radiation
absorption.n.01	(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
absorption.n.02	(physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium
absorptivity.n.01	(physics) the property of a body that determines the fraction of the incident radiation or sound flux absorbed or absorbable by the body
abstain.v.02	choose not to consume
abstainer.n.01	someone who practices self denial as a spiritual discipline
abstainer.n.02	a person who refrains from drinking intoxicating beverages
abstemiousness.n.01	restricted to bare necessities
abstinence.n.01	the trait of abstaining (especially from alcohol)
abstinence.n.02	act or practice of refraining from indulging an appetite
abstract.a.01	existing only in the mind; separated from embodiment
abstract.v.01	consider a concept without thinking of a specific example; consider abstractly or theoretically
abstract.v.03	consider apart from a particular case or instance
abstract.v.04	give an abstract (of)
abstractedness.n.01	preoccupation with something to the exclusion of all else
abstraction.n.01	a concept or idea not associated with any specific instance
abstraction.n.03	the process of formulating general concepts by abstracting common properties of instances
abstraction.n.06	a general concept formed by extracting common features from specific examples
abstractionism.n.02	a representation having no reference to concrete objects or specific examples
abstractionist.n.01	a painter of abstract pictures
absurdity.n.01	a message whose content is at variance with reason
absurdity.n.02	a ludicrous folly
abu_hafs_al-masri_brigades.n.01	a terrorist group that has worked with Al Qaeda; claimed responsibility for attacks in Iraq and Turkey
abu_sayyaf.n.01	a small gang of terrorist thugs claiming to seek a separate Islamic state for the Muslim minority in the Philippines; uses bombing and assassination and extortion and kidnapping
abudefduf.n.01	damsel fishes
abundance.n.01	the property of a more than adequate quantity or supply
abundant.a.01	present in great quantity
abuse.n.02	a rude expression intended to offend or hurt
abuse.v.03	use foul or abusive language towards
abuser.n.01	someone who abuses
abutilon.n.01	herbs or shrubs or small trees: flowering maple; Indian mallow
abutment.n.01	point of contact between two objects or parts
abutter.n.01	the owner of contiguous property
abyssal_zone.n.01	the deep sea (2000 meters or more) where there is no light
abyssinian_banana.n.01	large evergreen arborescent herb having huge paddle-shaped leaves and bearing inedible fruit that resemble bananas but edible young flower shoots; sometimes placed in genus Musa
acacia.n.01	any of various spiny trees or shrubs of the genus Acacia
academia.n.01	the academic world
academic.a.01	associated with academia or an academy
academic_administrator.n.01	an administrator in a college or university
academic_degree.n.01	an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study
academic_department.n.01	a division of a school that is responsible for a given subject
academic_gown.n.01	a gown worn by academics or judges
academic_program.n.01	(education) a program of education in liberal arts and sciences (usually in preparation for higher education)
academician.n.01	someone elected to honorary membership in an academy
academician.n.02	a scholar who is skilled in academic disputation
academician.n.03	an educator who works at a college or university
academicianship.n.01	the position of member of an honorary academy
academy.n.01	a secondary school (usually private)
academy.n.02	an institution for the advancement of art or science or literature
academy.n.03	a school for special training
academy.n.04	a learned establishment for the advancement of knowledge
academy_award.n.01	an annual award by the Academy of Motion Picture Arts and Sciences for achievements in motion picture production and performance
acadia.n.01	the French-speaking part of the Canadian Maritime Provinces
acalypha.n.01	a genus of herbs and shrubs belonging to the family Euphorbiaceae
acanthaceae.n.01	widely distributed herbs and shrubs and trees; sometimes placed in the order Scrophulariales
acanthisitta.n.01	a genus of Xenicidae
acanthocephala.n.01	phylum or class of elongated wormlike parasites that live in the intestines of vertebrates: spiny-headed worms
acanthocybium.n.01	wahoos
acanthophis.n.01	Australian elapid snakes
acanthopterygii.n.01	teleost fishes having fins with sharp bony rays
acanthoscelides.n.01	a genus of Bruchidae
acanthuridae.n.01	surgeonfishes
acanthurus.n.01	type genus of the Acanthuridae: doctorfishes
acanthus.n.01	any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers; native to Mediterranean region but widely cultivated
acapulco.n.01	a port and fashionable resort city on the Pacific coast of southern Mexico; known for beaches and water sports (including cliff diving)
acapulco_gold.n.01	a particularly potent variety of marijuana
acarina.n.01	mites and ticks
acarine.n.01	mite or tick
acaroid_resin.n.01	an alcohol-soluble resin from Australian trees; used in varnishes and in manufacturing paper
accede.v.02	take on duties or office
accelerate.v.01	move faster
accelerate.v.02	cause to move faster
acceleration.n.01	an increase in rate of change
acceleration.n.02	the act of accelerating; increasing the speed
accelerator.n.01	a pedal that controls the throttle valve
accelerator.n.02	a valve that regulates the supply of fuel to the engine
accelerator.n.04	a scientific instrument that increases the kinetic energy of charged particles
accent.n.01	distinctive manner of oral expression
accent.n.05	a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
accentor.n.01	small sparrow-like songbird of mountainous regions of Eurasia
accentuation.n.01	the use or application of an accent; the relative prominence of syllables in a phrase or utterance
accept.v.01	consider or hold as true
accept.v.02	receive willingly something given or offered
accept.v.03	give an affirmative reply to; respond favorably to
accept.v.04	react favorably to; consider right and proper
accept.v.05	admit into a group or community
accept.v.07	tolerate or accommodate oneself to
acceptability.n.01	satisfactoriness by virtue of conforming to approved standards
acceptance.n.03	the state of being acceptable and accepted
acceptation.n.01	acceptance as true or valid
access.n.03	a way of entering or leaving
access.n.05	(computer science) the operation of reading or writing stored information
access.n.06	the act of approaching or entering
access.v.01	obtain or retrieve from a storage device; as of information on a computer
access.v.02	reach or gain access to
access_time.n.01	(computer science) the interval between the time data is requested by the system and the time the data is provided by the drive
accessible.a.01	capable of being reached
accession.n.06	the act of attaining or gaining access to a new office or right or position (especially the throne)
accessory.n.01	clothing that is worn or carried, but not part of your main clothing
accessory.n.02	a supplementary component that improves capability
accessory.n.03	someone who helps another person commit a crime
accident.n.01	an unfortunate mishap; especially one causing damage or injury
accident.n.02	anything that happens suddenly or by chance without an apparent cause
accipiter.n.01	type genus of the family Accipitridae
accipitridae.n.01	hawks; Old World vultures; kites; harriers; eagles
acclaim.n.01	enthusiastic approval
acclaim.v.01	praise vociferously
acclimatization.n.01	adaptation to a new climate (a new temperature or altitude or environment)
acclimatize.v.01	get used to a certain climate
accommodate.v.04	have room for; hold without crowding
accommodate.v.07	make (one thing) compatible with (another)
accommodation.n.02	a settlement of differences
accommodation.n.03	in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
accommodation.n.04	living quarters provided for public convenience
accommodation.n.05	the act of providing something (lodging or seat or food) to meet a need
accommodation_reflex.n.01	reflex changes in the eyes that enable an object to be focused on the retina
accompaniment.n.01	an event or situation that happens at the same time as or in connection with another
accompaniment.n.02	a musical part (vocal or instrumental) that supports or provides background for other musical parts
accompanist.n.01	a person who provides musical accompaniment (usually on a piano)
accompany.v.02	go or travel along with
accomplice.n.01	a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
accomplishment.n.01	the action of accomplishing something
accord.n.04	sympathetic compatibility
accord.v.02	allow to have
accordance.n.02	the act of granting rights
accordant.a.01	being in agreement or harmony; often followed by `with'
accordion.n.01	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player
account.n.07	a statement of recent transactions and the resulting balance
account.v.02	keep an account of
account_executive.n.01	someone in charge of a client's account for an advertising agency or brokerage or other service business
accountancy.n.01	the occupation of maintaining and auditing records and preparing financial reports for a business
accountant.n.01	someone who maintains and audits business accounts
accountantship.n.01	the position of accountant
accounting.n.02	a system that provides quantitative information about finances
accounting.n.04	a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts
accredit.v.01	grant credentials to
accredit.v.03	ascribe an achievement to
accrete.v.01	grow together (of plants and organs)
accrete.v.02	grow or become attached by accretion
accretion.n.01	an increase by natural growth or addition
accretion.n.04	(biology) growth by addition as by the adhesion of parts or particles
accrue.v.02	come into the possession of
acculturate.v.01	assimilate culturally
acculturation.n.02	all the knowledge and values shared by a society
acculturation.n.03	the process of assimilating new ideas into an existing cognitive structure
acculturational.a.01	of or relating to acculturation
accumulate.v.02	collect or gather
accumulation.n.03	the act of accumulating
accumulation.n.04	(finance) profits that are not paid out as dividends but are added to the capital base of the corporation
accuracy.n.01	the quality of being near to the true value
accurate.a.01	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
accurse.v.01	curse or declare to be evil or anathema or threaten with divine punishment
accusation.n.01	a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
accusation.n.02	an assertion that someone is guilty of a fault or offence
accuse.v.01	bring an accusation against; level a charge against
accuser.n.01	someone who imputes guilt or blame
ace.n.03	someone who is dazzlingly skilled in any field
ace_inhibitor.n.01	an antihypertensive drug that blocks the formation of angiotensin II in the kidney, leading to relaxation of the arteries; promotes the excretion of salt and water by inhibiting the activity of the angiotensin converting enzyme; also used to treat congestive heart failure
acebutolol.n.01	an oral beta blocker (trade name Sectral) used in treating hypertension
acephalia.n.01	absence of the head (as in the development of some monsters)
acer.n.01	type genus of the Aceraceae; trees or shrubs having winged fruit
aceraceae.n.01	a family of trees and shrubs of order Sapindales including the maples
acerbate.v.02	make sour or bitter
acerola.n.02	acid red or yellow cherry-like fruit of a tropical American shrub very rich in vitamin C
acetabular.s.01	of the cup-shaped socket that receives the head of the thigh bone
acetaminophen.n.01	an analgesic for mild pain but not for inflammation; also used as an antipyretic; (Datril, Tylenol, Panadol, Phenaphen, Tempra, and Anacin III are trademarks of brands of acetaminophen tablets)
acetanilide.n.01	a white crystalline compound used as an analgesic and also as an antipyretic
acetate_disk.n.01	a disk coated with cellulose acetate
acetic_acid.n.01	a colorless pungent liquid widely used in manufacturing plastics and pharmaceuticals
acetone.n.01	the simplest ketone; a highly inflammable liquid widely used as an organic solvent and as material for making plastics
acetophenetidin.n.01	a white crystalline compound used as an analgesic and also as an antipyretic
acetum.n.01	a dilute solution of acetic acid that is used as a solvent (e.g. for a drug)
acetyl.n.01	the organic group of acetic acid (CH3CO-)
acetylate.v.01	receive substitution of an acetyl group
acetylate.v.02	introduce an acetyl group into (a chemical compound)
acetylation.n.01	the process of introducing an acetyl group into a compound
ache.n.01	a dull persistent (usually moderately intense) pain
ache.v.02	have a desire for something or someone who is not present
ache.v.03	be the source of pain
acheron.n.01	(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
acherontia.n.01	death's-head moth
acheta.n.01	common house and field crickets
achieve.v.01	to gain with effort
achiever.n.01	a person with a record of successes
achillea.n.01	any of several plants of the genus Achillea native to Europe and having small white flowers in flat-topped flower heads
achilles_tendon.n.01	a large tendon that runs from the heel to the calf
achoerodus.n.01	a genus of Labridae
achondroplasia.n.01	an inherited skeletal disorder beginning before birth; cartilage is converted to bone resulting in dwarfism
achras.n.01	tropical trees having papery leaves and large fruit
achromatic.a.01	having no hue
achromatic_color.n.01	a color lacking hue; white or grey or black
achromatize.v.01	remove color from
achromia.n.01	an absence of normal pigmentation especially in the skin (as in albinism) or in red blood cells
acid-base_indicator.n.01	an indicator that changes color on going from acidic to basic solutions
acid.n.01	any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
acid.n.02	street name for lysergic acid diethylamide
acidification.n.01	the process of becoming acid or being converted into an acid
acidify.v.02	turn acidic
acidophilus.n.01	a bacterium that is used to make yogurt and to supplement probiotics
acidosis.n.01	abnormally high acidity (excess hydrogen-ion concentration) of the blood and other body tissues
acinonyx.n.01	cheetahs
acinos.n.01	plants closely allied to the genera Satureja and Calamintha
acinus.n.02	one of the small sacs or saclike dilations in a compound gland
acipenser.n.01	type genus of the Acipenseridae: sturgeons
acipenseridae.n.01	sturgeons
acknowledge.v.02	report the receipt of
acknowledge.v.04	express obligation, thanks, or gratitude for
acknowledge.v.06	accept (someone) to be what is claimed or accept his power and authority
acknowledgment.n.03	a statement acknowledging something or someone
acme.n.01	the highest level or degree attainable; the highest stage of development
acne.n.01	an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones
acnidosporidia.n.01	a subclass of Sporozoa
acocanthera.n.01	small genus of trees and shrubs containing strongly toxic cardiac glycosides; Arabia to Africa
acolyte.n.01	someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches
aconite.n.01	any of various usually poisonous plants of the genus Aconitum having tuberous roots and palmately lobed leaves and blue or white flowers
aconitum.n.01	genus of poisonous plants of temperate regions of northern hemisphere with a vaulted and enlarged petal
acoraceae.n.01	used in some classifications for the genus Acorus which is usually assigned to Araceae
acorn_barnacle.n.01	barnacle that attaches to rocks especially in intertidal zones
acorn_tube.n.01	a small vacuum tube; used at high frequencies
acorus.n.01	sweet flags; sometimes placed in subfamily Acoraceae
acoustic.n.01	a remedy for hearing loss or deafness
acoustic_device.n.01	a device for amplifying or transmitting sound
acoustic_nerve.n.01	a composite sensory nerve supplying the hair cells of the vestibular organ and the hair cells of the cochlea
acoustics.n.01	the study of the physical properties of sound
acquaintance.n.01	personal knowledge or information about someone or something
acquaintance.n.03	a person with whom you are acquainted
acquire.v.05	win something through one's efforts
acquirer.n.01	a person who acquires something (usually permanently)
acquirer.n.02	a corporation gaining financial control over another corporation or financial institution through a payment in cash or an exchange of stock
acquiring.n.01	the act of acquiring something
acquisition.n.01	the act of contracting or assuming or acquiring possession of something
acquisition.n.02	something acquired
acquisitiveness.n.01	strong desire to acquire and possess
acquit.v.01	pronounce not guilty of criminal charges
acquittal.n.01	a judgment of not guilty
acquittance.n.01	a legal document evidencing the discharge of a debt or obligation
acrasiomycetes.n.01	cellular slime molds; in some classifications placed in kingdom Protoctista
acre-foot.n.01	the volume of water that would cover 1 acre to a depth of 1 foot; 43,560 cubic feet or 1233.5 cubic meters
acre.n.02	a territory of western Brazil bordering on Bolivia and Peru
acre.n.03	a town and port in northwestern Israel in the eastern Mediterranean
acre_inch.n.01	one twelfth of an acre-foot
acrididae.n.01	short-horned grasshoppers; true locusts
acridotheres.n.01	mynas
acris.n.01	cricket frogs
acrobat.n.01	an athlete who performs acts requiring skill and agility and coordination
acrobatic_stunt.n.01	a stunt performed by an acrobat
acrobatics.n.01	the gymnastic moves of an acrobat
acrobatics.n.02	the performance of stunts while in flight in an aircraft
acrocarpus.n.01	small genus of trees of Indonesia and Malaysia
acrocomia.n.01	Central and South American feather palms
acrodont.n.01	an animal having teeth consolidated with the summit of the alveolar ridge without sockets
acromion.n.01	the outermost point of the spine of the shoulder blade
acronym.n.01	a word formed from the initial letters of the several words in the name
acropora.n.01	coelenterate genus of order Madreporaria, including staghorn corals
acrosome.n.01	a process at the anterior end of a sperm cell that produces enzymes to facilitate penetration of the egg
acrostichum.n.01	in some classification systems placed in family Polypodiaceae
acrylic.n.02	a glassy thermoplastic; can be cast and molded or used in coatings and adhesives
acrylic.n.04	a synthetic fabric
act.n.01	a legal document codifying the result of deliberations of a committee or society or legislative body
act.n.02	something that people do or cause to happen
act.n.03	a subdivision of a play or opera or ballet
act.n.04	a short theatrical performance that is part of a longer program
act.n.05	a manifestation of insincerity
act.v.01	perform an action, or work out or perform (an action)
act.v.02	behave in a certain manner; show a certain behavior; conduct or comport oneself
act.v.03	play a role or part
act.v.04	discharge one's duties
act.v.05	pretend to have certain qualities or state of mind
act.v.06	be suitable for theatrical performance
act.v.08	be engaged in an activity, often for no particular purpose other than pleasure
act.v.10	perform on a stage or theater
act_involuntarily.v.01	act in an uncontrolled manner
act_of_god.n.01	a natural and unavoidable catastrophe that interrupts the expected course of events
actable.a.01	capable of being acted; suitable for the stage
actaea.n.01	baneberry
actias.n.01	luna moths
acting.n.01	the performance of a part or role in a drama
actinia.n.01	a genus of sea anemone common in rock pools
actinia.n.02	any sea anemone or related animal
actiniaria.n.01	sea anemones
actinic_radiation.n.01	electromagnetic radiation that can produce photochemical reactions
actinidia.n.01	small Asiatic woody vine bearing many-seeded fruit
actinidiaceae.n.01	tropical trees or shrubs or woody vines
actinomeris.n.01	used in some classification systems for plants now included in genus Verbesina
actinometry.n.01	measuring the intensity of electromagnetic radiation (especially of the sun's rays)
actinomycetales.n.01	filamentous or rod-shaped bacteria
actinomycete.n.01	any bacteria (some of which are pathogenic for humans and animals) belonging to the order Actinomycetales
actinomycosis.n.01	disease of cattle that can be transmitted to humans; results from infection with actinomycetes; characterized by hard swellings that exude pus through long sinuses
actinopod.n.01	protozoa having stiff rodlike radiating pseudopods
actinopoda.n.01	heliozoans; radiolarians
action.n.01	something done (usually as opposed to something said)
action.n.02	the state of being active
action.n.07	the operating part that transmits power to a mechanism
action.v.01	institute legal proceedings against; file a suit against
actitis.n.01	a genus of Scolopacidae
actium.n.02	the naval battle in which Antony and Cleopatra were defeated by Octavian's fleet under Agrippa in 31 BC
activate.v.02	make active or more active
activate.v.04	aerate (sewage) so as to favor the growth of organisms that decompose organic matter
activating_agent.n.01	(mineral extraction) a surface-active chemical used in flotation process to increase the attraction to a specific mineral
activation.n.01	stimulation of activity in an organism or chemical
activator.n.01	(biology) any agency bringing about activation; a molecule that increases the activity of an enzyme or a protein that increases the production of a gene product in DNA transcription
active.a.01	tending to become more severe or wider in scope
active.a.03	disposed to take action or effectuate change
active.a.06	exerting influence or producing a change or effect
active.a.09	(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions
active.a.13	(of e.g. volcanos) erupting or liable to erupt
active.n.03	a person who is a participating member of an organization
activeness.n.02	the trait of being active; moving or acting rapidly and energetically
activity.n.01	any specific behavior
actor's_line.n.01	words making up the dialogue of a play
actor.n.01	a theatrical performer
actor.n.02	a person who acts and gets things done
actress.n.01	a female actor
actual.a.01	presently existing in fact and not merely potential or possible
actual_damages.n.01	(law) compensation for losses that can readily be proven to have occurred and for which the injured party has the right to be compensated
actuality.n.01	the state of actually existing objectively
actuator.n.01	a mechanism that puts something into automatic action
acuity.n.01	sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)
aculeus.n.01	a stiff sharp-pointed plant process
acuminate.v.01	make sharp or acute; taper; make (something) come to a point
acupressure.n.01	treatment of symptoms by applying pressure with the fingers to specific pressure points on the body
acupuncture.n.01	treatment of pain or disease by inserting the tips of needles at specific points on the skin
acute_leukemia.n.01	rapidly progressing leukemia
acyclovir.n.01	an oral antiviral drug (trade name Zovirax) used to treat genital herpes; does not cure the disease but relieves the symptoms
acyl.n.01	any group or radical of the form RCO- where R is an organic group
ad-lib.n.01	remark made spontaneously without prior preparation
ad.n.01	a public promotion of some product or service
adagio.n.01	(music) a composition played in adagio tempo (slowly and gracefully)
adagio.n.02	a slow section of a pas de deux requiring great skill and strength by the dancers
adalia.n.02	genus of ladybugs
adam.n.03	street names for methylenedioxymethamphetamine
adamance.n.01	resoluteness by virtue of being unyielding and inflexible
adams.n.02	6th President of the United States; son of John Adams (1767-1848)
adams.n.03	2nd President of the United States (1735-1826)
adams.n.04	a mountain peak in southwestern Washington in the Cascade Range (12,307 feet high)
adana.n.01	a city in southern Turkey on the Seyhan River
adansonia.n.01	baobab; cream-of-tartar tree
adapid.n.01	extinct small mostly diurnal lower primates that fed on leaves and fruit; abundant in North America and Europe 30 to 50 million years ago; their descendents probably include the lemurs; some authorities consider them ancestral to anthropoids but others consider them only cousins
adapt.v.01	make fit for, or change to suit a new purpose
adaptability.n.01	the ability to change (or be changed) to fit changed circumstances
adaptable.a.01	capable of adapting (of becoming or being made suitable) to a particular situation or use
adaptation.n.01	a written work (as a novel) that has been recast in a new form
adaptation.n.02	the process of adapting to something (such as environmental conditions)
adaptation.n.03	(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)
adaptive.a.01	having a capacity for adaptation
add.v.01	make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
add.v.02	state or say further
add.v.04	make an addition by combining numbers
addendum.n.01	textual matter that is added onto a publication; usually at the end
adder's_tongue.n.01	ferns with fertile spikes shaped like a snake's tongue
adder.n.02	a machine that adds numbers
addict.n.01	someone who is so ardently devoted to something that it resembles an addiction
addict.n.02	someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
